chart type,nominal,quantitative,temporal,connection,mark,geometry type,coordinate system,Complexity,Use
bar chart,position,length,,,bar,function,cartesian,2,
stacked bar chart,"position, color",length,,,bar,function,cartesian,3,
multiset bar chart,"position, position",length,,,bar,function,cartesian,3,
radial bar chart,position,central angle,,,bar,function,polar,2,
radial column chart,angle,length,,,bar,function,polar,2,
line chart,,position,position,,line,function,cartesian,2,
multiline chart,color,position,position,,line,function,cartesian,3,
radar chart,angle,position,,,line,function,polar,2,
colored radar chart,"angle, color",position,,,line,function,polar,3,
area chart,,position,position,,area,function,cartesian,2,
colored area chart,color,position,position,,area,function,cartesian,3,
pie chart,color,central angle,,,pie slice,function,polar,2,
donut chart,color,central angle,,,donut slice,function,polar,2,
scatterplot,,"position, position",,,circle,function,cartesian,2,
bubble chart,,"position, position, size",,,circle,function,cartesian,3,
colored scatterplot,color,"position, position",,,circle,function,cartesian,3,
colored bubble chart,color,"position, position, size",,,circle,function,cartesian,4,
multi box and whisker plot,,position,,,box and whisker,function,linear,1,
box and whisker plot,position,position,,,box and whisker,function,cartesian,2,
violin plot,,position,,,area,function,cartesian,1,
multi violin plot,position,position,,,area,function,cartesian,2,
histogram,,"position, length",,,bar,function,cartesian,2,
density plot,,"position, position",,,area,function,cartesian,2,
colored density plot,color,"position, position",,,area,function,cartesian,3,
1D heatmap,,"position, brightness of color",,,rectangular area,function,cartesian,2,
2D heatmap,,"position, position, color",,,rectangular area,function,cartesian,3,
table heatmap,position,"position, brightness of color",,,rectangular area,function,cartesian,3,
lasagna plot,position,brightness of color,position,,rectangular area,function,cartesian,3,
parallel coordinates plot,"position, position",position,,,line,function,parallel,3,
chord diagram,color,width,,,"arc, chord",network,polar,4,
arc diagram,,,,,"circle, arc",network,linear,2,
treemap,position,size,,,rectangular area,function,cartesian,2,
sunburst diagram,position,central angle,,,donut slice,function,polar,2,
marimekko chart,"position, color",size,,,rectangular area,function,cartesian,3,
circle packing,position,size,,,circle,function,,2,
parallel sets,"position, position",width,,,line,function,parallel,3,
icicle,position,width,,,rectangular area,function,cartesian,2,
bee swarm chart,,position,,,circle,function,linear,1,
colored bee swarm chart,color,position,,,circle,function,linear,2,
nightingale chart,color,length,position,,pie slice,function,polar,3,
pictogram chart,shape,count,,,icon,function,cartesian,2,
network diagram,,,,,"circle, line",network,,2,
colored network diagram,node:color,,,,"circle, line",network,,3,
colored arc diagram,node:color,,,,"circle, arc",network,linear,3,
word cloud,,size,,,word,function,,1,
stream graph,color,position,position,,area,function,cartesian,2,
proportional area chart,position,size,,,area,function,,2,
colored proportional area chart,"color, position",size,,,area,function,,3,
gantt chart,position,length,position,,bar,function,cartesian,3,
